SSA,C%,H/C,O/C,E,S,A,B,V,log(Kd)
0.022140221,0.637168142,0.152777778,0.32,1.05,1.06,0.0,0.68,2.3143,2.41
0.022140221,0.637168142,0.152777778,0.222222222,1.05,1.06,0.0,0.68,2.3143,1.81
0.022140221,0.637168142,0.152777778,0.3222,1.05,1.06,0.0,0.68,2.3143,0.99
0.068027211,0.608695652,0.071428571,0.571428571,1.05,1.06,0.0,0.68,2.3143,2.36
0.068027211,0.608695652,0.071428571,0.6714,1.05,1.06,0.0,0.68,2.3143,2.21
0.068027211,0.608695652,0.071428571,0.571428571,1.05,1.06,0.0,0.68,2.3143,2.14
0.068027211,0.608695652,0.071428571,0.6714,1.05,1.06,0.0,0.68,2.3143,2.07
0.022140221,0.637168142,0.152777778,0.222222222,1.35,1.9,0.0,0.85,2.2077,2.08
0.022140221,0.637168142,0.152777778,0.32,1.35,1.9,0.0,0.85,2.2077,1.92
0.022140221,0.637168142,0.152777778,0.222222222,1.35,1.9,0.0,0.85,2.2077,2.1
0.022140221,0.637168142,0.152777778,0.3222,1.35,1.9,0.0,0.85,2.2077,0.98
0.068027211,0.608695652,0.071428571,0.571428571,1.35,1.9,0.0,0.85,2.2077,2.92
0.068027211,0.608695652,0.071428571,0.6714,1.35,1.9,0.0,0.85,2.2077,2.87
0.068027211,0.608695652,0.071428571,0.571428571,1.35,1.9,0.0,0.85,2.2077,2.83
0.068027211,0.608695652,0.071428571,0.6714,1.35,1.9,0.0,0.85,2.2077,2.81
0.6,0.923076923,0.083333333,1.04e-07,1.34,0.92,0.0,0.2,1.0854,4.077912703
0.6,0.923076923,0.083333333,1.04e-07,1.67,1.26,0.2,0.57,1.1852,3.781539969
0.6,0.923076923,0.083333333,1.04e-07,1.34,10.94,0.0,0.22,1.2263,4.06595298
0.6,0.923076923,0.083333333,1.04e-07,1.46,1.2,0.65,0.49,1.3007,3.923968965
0.6,0.923076923,0.083333333,1.04e-07,1.52,1.05,0.61,0.37,1.1441,3.802773725
0.6,0.72972973,0.074074074,0.296296296,1.34,0.92,0.0,0.2,1.0854,3.970858057
0.6,0.72972973,0.074074074,0.296296296,1.67,1.26,0.2,0.57,1.1852,3.80078579
0.6,0.72972973,0.074074074,0.296296296,1.34,10.94,0.0,0.22,1.2263,3.998869364
0.6,0.72972973,0.074074074,0.296296296,1.46,1.2,0.65,0.49,1.3007,3.656673046
0.6,0.72972973,0.074074074,0.296296296,1.52,1.05,0.61,0.37,1.1441,3.658106836
0.041666667,0.857142857,0.166666667,4.17e-07,1.16,1.11,0.0,1.14,2.5629,2.956312531
0.044444444,0.857142857,0.166666667,2.78e-07,1.16,1.11,0.0,1.14,2.5629,2.990116766
0.000334448,0.384,0.125,4.17e-07,1.16,1.11,0.0,1.14,2.5629,2.125968963
6.91,0.857142857,0.166666667,4.17e-07,2.81,1.71,0.0,0.28,1.5846,3.683364931
2.35,0.923076923,0.083333333,1.04e-07,2.81,1.71,0.0,0.28,1.5846,3.08773905
1.87,0.384,0.125,4.17e-07,2.81,1.71,0.0,0.28,1.5846,2.882614401
1.0159,0.857142857,0.166666667,4.17e-07,2.75,1.82,0.82,0.36,2.5643,2.789580712
0.2218,0.857142857,0.166666667,2.78e-07,2.75,1.82,0.82,0.36,2.5643,2.996949248
1.9241,0.923076923,0.083333333,1.04e-07,2.75,1.82,0.82,0.36,2.5643,3.354684554
2.6334,0.384,0.125,4.17e-07,2.75,1.82,0.82,0.36,2.5643,3.764475027
0.418,0.857142857,0.166666667,2.78e-07,1.54,1.45,0.24,1.44,2.4113,2.240549248
0.0004,0.857142857,0.166666667,4.17e-07,2.32,1.41,0.0,0.26,2.0829,1.04453976
0.0004,0.857142857,0.166666667,2.78e-07,2.32,1.41,0.0,0.26,2.0829,1.077367905
0.0017,0.637168142,0.152777778,0.222222222,2.32,1.41,0.0,0.26,2.0829,1.135768515
0.0054,0.923076923,0.083333333,1.04e-07,2.32,1.41,0.0,0.26,2.0829,1.155639634
0.223214286,0.857142857,0.166666667,4.17e-07,2.78,2.8,0.01,2.54,2.5043,2.126780577
0.130208333,0.857142857,0.166666667,4.17e-07,2.78,2.8,0.01,2.54,2.5043,2.079543007
0.083333333,0.857142857,0.166666667,4.17e-07,2.78,2.8,0.01,2.54,2.5043,2.071513805
0.025,0.857142857,0.166666667,4.17e-07,2.78,2.8,0.01,2.54,2.5043,2.03702788
0.223214286,0.857142857,0.166666667,4.17e-07,2.78,2.8,0.01,2.54,2.5043,2.125481266
0.130208333,0.857142857,0.166666667,4.17e-07,2.78,2.8,0.01,2.54,2.5043,2.08278537
0.025,0.857142857,0.166666667,4.17e-07,2.78,2.8,0.01,2.54,2.5043,2.035829825
0.138888889,0.857142857,0.166666667,4.17e-07,1.89,2.23,0.58,1.29,1.7244,2.84509804
0.138888889,0.857142857,0.166666667,4.17e-07,1.83,1.5,0.1,0.82,2.2647,3.522444234
0.48,0.637168142,0.152777778,0.222222222,2.13,2.53,0.59,1.53,2.0043,1.587710965
0.231,0.857142857,0.166666667,4.17e-07,2.13,2.53,0.59,1.53,2.0043,1.371067862
0.314,0.857142857,0.166666667,2.78e-07,2.13,2.53,0.59,1.53,2.0043,1.178976947
0.584,0.923076923,0.083333333,1.04e-07,2.13,2.53,0.59,1.53,2.0043,1.322219295
0.842,0.384,0.125,4.17e-07,2.13,2.53,0.59,1.53,2.0043,1.269512944
2.8191,0.857142857,0.166666667,4.17e-07,1.34,0.92,0.0,0.2,1.0854,2.962211439
2.8191,0.857142857,0.166666667,4.17e-07,1.34,0.94,0.0,0.22,1.2263,3.108423649
2.8191,0.857142857,0.166666667,4.17e-07,1.34,0.92,0.0,0.2,1.0854,2.768777624
2.8191,0.857142857,0.166666667,4.17e-07,1.34,0.94,0.0,0.22,1.2263,2.879089711
2.8191,0.857142857,0.166666667,4.17e-07,1.52,1.05,0.61,0.37,1.1441,2.370787763
1.12,0.857142857,0.166666667,0.0945,2.83,2.74,1.42,2.7,2.5356,2.15490196
0.044280443,0.637168142,0.152777778,0.222222222,1.89,2.23,0.58,1.29,1.7244,2.45331834
0.05,0.857142857,0.166666667,4.17e-07,1.89,2.23,0.58,1.29,1.7244,1.477121255
0.034782609,0.625,0.066666667,0.533333333,1.89,2.23,0.58,1.29,1.7244,1.346352974
0.048,0.923076923,0.083333333,1.04e-07,1.89,2.23,0.58,1.29,1.7244,1.472756449
0.034782609,0.384,0.125,4.17e-07,1.89,2.23,0.58,1.29,1.7244,1.450249108
0.053333333,0.857142857,0.166666667,2.78e-07,1.89,2.23,0.58,1.29,1.7244,1.489958479
0.041666667,0.857142857,0.166666667,4.17e-07,-0.83,0.25,0.31,0.75,1.8763,1.515873844
0.024,0.923076923,0.083333333,1.04e-07,-0.83,0.25,0.31,0.75,1.8763,-1.0
0.018903592,0.384,0.125,4.17e-07,-0.83,0.25,0.31,0.75,1.8763,2.002166062
0.041666667,0.857142857,0.166666667,4.17e-07,-0.69,-0.13,0.51,0.72,1.9174,2.474653253
0.024,0.923076923,0.083333333,1.04e-07,-0.69,-0.13,0.51,0.72,1.9174,1.92890769
0.018903592,0.384,0.125,4.17e-07,-0.69,-0.13,0.51,0.72,1.9174,2.063333359
11.42857143,0.9231,0.0833,0.084,2.2,2.34,0.7,2.52,2.3047,0.624539914
11.42857143,0.9231,0.0833,0.084,2.2,2.34,0.7,2.52,2.3047,0.782722813
11.42857143,0.9231,0.0833,0.084,2.2,2.34,0.7,2.52,2.3047,0.639481439
11.42857143,0.9231,0.0833,0.084,2.2,2.34,0.7,2.52,2.3047,0.541780021
28.57142857,0.9231,0.0833,0.084,2.2,2.34,0.7,2.52,2.3047,0.886768023
57.14285714,0.9231,0.0833,0.0,1.34,0.92,0.0,0.2,1.0854,3.74
5.714285714,0.9231,0.0833,0.0,1.34,0.92,0.0,0.2,1.0854,3.51
2.857142857,0.9231,0.0833,0.0,1.34,0.92,0.0,0.2,1.0854,2.66
57.14285714,0.9231,0.0833,0.0,1.6,1.05,0.0,0.22,1.2586,5.08
5.714285714,0.9231,0.0833,0.0,1.6,1.05,0.0,0.22,1.2586,4.33
2.857142857,0.9231,0.0833,0.0,1.6,1.05,0.0,0.22,1.2586,3.73
57.14285714,0.9231,0.0833,0.0,1.59,1.06,0.0,0.25,1.3565,5.1
5.714285714,0.9231,0.0833,0.0,1.59,1.06,0.0,0.25,1.3565,4.57
2.857142857,0.9231,0.0833,0.0,1.59,1.06,0.0,0.25,1.3565,3.95
57.14285714,0.9231,0.0833,0.0,2.06,1.29,0.0,0.26,1.4544,5.32
5.714285714,0.9231,0.0833,0.0,2.06,1.29,0.0,0.26,1.4544,4.62
2.857142857,0.9231,0.0833,0.0,2.06,1.29,0.0,0.26,1.4544,4.0
57.14285714,0.9231,0.0833,0.0,2.29,1.34,0.0,0.28,1.4544,5.52
5.714285714,0.9231,0.0833,0.0,2.29,1.34,0.0,0.28,1.4544,4.94
2.857142857,0.9231,0.0833,0.0,2.29,1.34,0.0,0.28,1.4544,4.33
57.14285714,0.9231,0.0833,0.0,2.38,1.55,0.0,0.24,1.5846,5.12
5.714285714,0.9231,0.0833,0.0,2.38,1.55,0.0,0.24,1.5846,4.56
2.857142857,0.9231,0.0833,0.0,2.38,1.55,0.0,0.24,1.5846,4.0
57.14285714,0.9231,0.0833,0.0,2.81,1.71,0.0,0.28,1.5846,4.92
5.714285714,0.9231,0.0833,0.0,2.81,1.71,0.0,0.28,1.5846,4.37
2.857142857,0.9231,0.0833,0.0,2.81,1.71,0.0,0.28,1.5846,3.81
57.14285714,0.9231,0.0833,0.0,1.46,1.12,0.0,0.24,1.4466,5.79
5.714285714,0.9231,0.0833,0.0,1.46,1.12,0.0,0.24,1.4466,4.98
2.857142857,0.9231,0.0833,0.0,1.46,1.12,0.0,0.24,1.4466,4.56
57.14285714,0.9231,0.0833,0.0,1.46,1.15,0.0,0.23,1.4466,6.32
5.714285714,0.9231,0.0833,0.0,1.46,1.15,0.0,0.23,1.4466,5.54
2.857142857,0.9231,0.0833,0.0,1.46,1.15,0.0,0.23,1.4466,5.15
57.14285714,0.9231,0.0833,0.0,1.61,1.3,0.0,0.2,1.569,6.13
5.714285714,0.9231,0.0833,0.0,1.61,1.3,0.0,0.2,1.569,5.36
2.857142857,0.9231,0.0833,0.0,1.61,1.3,0.0,0.2,1.569,4.97
57.14285714,0.9231,0.0833,0.0,1.67,1.23,0.0,0.19,1.569,6.56
5.714285714,0.9231,0.0833,0.0,1.67,1.23,0.0,0.19,1.569,5.77
2.857142857,0.9231,0.0833,0.0,1.67,1.23,0.0,0.19,1.569,5.4
57.14285714,0.9231,0.0833,0.0,1.75,1.36,0.0,0.17,1.6914,5.62
5.714285714,0.9231,0.0833,0.0,1.75,1.36,0.0,0.17,1.6914,5.15
2.857142857,0.9231,0.0833,0.0,1.75,1.36,0.0,0.17,1.6914,4.82
57.14285714,0.9231,0.0833,0.0,1.93,1.39,0.0,0.15,1.8138,5.95
5.714285714,0.9231,0.0833,0.0,1.93,1.39,0.0,0.15,1.8138,5.01
2.857142857,0.9231,0.0833,0.0,1.93,1.39,0.0,0.15,1.8138,4.72
57.14285714,0.9231,0.0833,0.0,1.33,0.92,0.06,0.0,1.3284,6.08
5.714285714,0.9231,0.0833,0.0,1.33,0.92,0.06,0.0,1.3284,5.34
2.857142857,0.9231,0.0833,0.0,1.33,0.92,0.06,0.0,1.3284,4.93
57.14285714,0.9231,0.0833,0.0,1.49,0.99,0.0,0.0,1.4508,5.8
5.714285714,0.9231,0.0833,0.0,1.49,0.99,0.0,0.0,1.4508,5.14
2.857142857,0.9231,0.0833,0.0,1.49,0.99,0.0,0.0,1.4508,4.79
57.14285714,0.9231,0.0833,0.0,2.17,1.83,0.0,0.1,2.0586,6.7
5.714285714,0.9231,0.0833,0.0,2.17,1.83,0.0,0.1,2.0586,5.86
2.857142857,0.9231,0.0833,0.0,2.17,1.83,0.0,0.1,2.0586,5.45
57.14285714,0.9231,0.0833,0.0,2.45,1.85,0.0,0.08,2.3034,8.34
5.714285714,0.9231,0.0833,0.0,2.45,1.85,0.0,0.08,2.3034,7.51
2.857142857,0.9231,0.0833,0.0,2.45,1.85,0.0,0.08,2.3034,7.28
57.14285714,0.9231,0.0833,0.0,2.59,2.0,0.0,0.06,2.4258,7.37
5.714285714,0.9231,0.0833,0.0,2.59,2.0,0.0,0.06,2.4258,6.59
2.857142857,0.9231,0.0833,0.0,2.59,2.0,0.0,0.06,2.4258,6.39
71.42857143,0.9231,0.0833,0.0,2.81,1.71,0.0,0.28,1.5846,3.0
71.42857143,0.9231,0.0833,0.0,2.32,1.41,0.0,0.26,2.0829,3.15490196
71.42857143,0.9231,0.0833,0.0,1.61,1.56,0.99,0.91,1.8643,0.096910013
71.42857143,0.9231,0.0833,0.0,1.56,1.78,1.06,0.66,1.5825,2.301029996
71.42857143,0.9231,0.0833,0.0,0.77,0.88,0.55,0.36,2.0432,3.096910013
85.0,0.8571,0.1667,0.0,2.38,1.55,0.0,0.24,1.5846,0.176091259
85.0,0.8571,0.1667,0.0,2.06,1.29,0.0,0.26,1.4544,0.096910013
85.63,0.9231,0.0833,0.0,1.98,2.5,0.05,2.39,2.2724,0.497324641
19.48,0.9231,0.0833,0.044,1.98,2.5,0.05,2.39,2.2724,0.776484091
85.63,0.9231,0.0833,0.0,2.39,2.76,0.46,2.28,2.5043,0.346787486
19.48,0.9231,0.0833,0.044,2.39,2.76,0.46,2.28,2.5043,0.604183685
0.077220077,0.9231,0.0833,0.0,2.2,2.34,0.7,2.52,2.3047,-1.087150175
4.285714286,0.384,0.125,0.0,2.2,2.34,0.7,2.52,2.3047,-1.062147905
0.057915058,0.384,0.125,0.0,2.2,2.34,0.7,2.52,2.3047,-0.927449334
142.8571429,0.9809,0.083333333,0.019471914,2.2,2.34,0.7,2.52,2.3047,-1.146128038
7.419,0.958,0.083333333,0.044,2.81,1.71,0.0,0.28,1.5846,2.124938736
7.419,0.958,0.083333333,0.044,0.77,0.88,0.55,0.36,2.0432,1.045757491
0.84,0.923076923,0.085,0.044,2.81,1.71,0.0,0.28,1.5846,0.942008053
2.82,0.384,0.113,0.062,2.81,1.71,0.0,0.28,1.5846,1.544068044
1.08,0.625,0.069,0.283,2.81,1.71,0.0,0.28,1.5846,1.367976785
0.65,0.857142857,0.14,0.036,2.81,1.71,0.0,0.28,1.5846,1.22184875
0.31,0.591240876,0.126,0.37,2.81,1.71,0.0,0.28,1.5846,1.903089987
0.98,0.857142857,0.152,0.01,2.81,1.71,0.0,0.28,1.5846,1.62838893
0.84,0.923076923,0.085,0.044,0.77,0.88,0.55,0.36,2.0432,0.352182518
2.82,0.384,0.113,0.062,0.77,0.88,0.55,0.36,2.0432,0.522878745
1.08,0.625,0.069,0.283,0.77,0.88,0.55,0.36,2.0432,0.522878745
0.65,0.857142857,0.14,0.036,0.77,0.88,0.55,0.36,2.0432,0.397940009
0.31,0.591240876,0.126,0.37,0.77,0.88,0.55,0.36,2.0432,1.477121255
0.98,0.857142857,0.152,0.01,0.77,0.88,0.55,0.36,2.0432,0.352182518
0.0416,0.8412,0.1888,0.8889,0.73,0.9,0.59,0.4,0.9317,1.0
0.0416,0.8412,0.1888,0.8889,1.89,2.23,0.58,1.29,1.7244,1.204119983
0.0416,0.8412,0.1888,0.8889,2.13,2.53,0.59,1.53,2.0043,0.954242509
0.0022,0.8334,0.1999,0.8889,0.73,0.9,0.59,0.4,0.9317,0.84509804
0.0022,0.8334,0.1999,0.8889,1.89,2.23,0.58,1.29,1.7244,0.477121255
0.0022,0.8334,0.1999,0.8889,2.13,2.53,0.59,1.53,2.0043,1.280373466
0.0166,0.8336,0.1996,0.8889,0.73,0.9,0.59,0.4,0.9317,1.273556814
0.0166,0.8336,0.1996,0.8889,1.89,2.23,0.58,1.29,1.7244,0.0
0.0166,0.8336,0.1996,0.8889,2.13,2.53,0.59,1.53,2.0043,1.168202747
0.0431,0.8097,0.235,0.8889,0.73,0.9,0.59,0.4,0.9317,1.113943352
0.0431,0.8097,0.235,0.8889,1.89,2.23,0.58,1.29,1.7244,1.842534355
0.0431,0.8097,0.235,0.8889,2.13,2.53,0.59,1.53,2.0043,1.230448921
2.3,0.551,0.024198427,0.018602541,1.15,1.58,0.0,0.49,1.2057,2.42
2.3,0.551,0.024198427,0.018602541,1.34,0.92,0.0,0.2,1.0854,3.45
2.3,0.551,0.024198427,0.018602541,2.06,1.29,0.0,0.26,1.4544,4.83
2.3,0.551,1.024198427,0.018602541,1.18,0.92,0.0,0.0,1.206,4.66
2.3,0.551,0.024198427,0.018602542,0.96,0.82,0.54,0.17,1.0199,1.82
3.1,0.849,0.015704751,0.017765999,1.15,1.58,0.0,0.49,1.2057,2.35
3.1,0.849,0.015704751,0.017765999,1.34,0.92,0.0,0.2,1.0854,2.93
3.1,0.849,0.015704751,0.017765999,2.06,1.29,0.0,0.26,1.4544,3.23
3.1,0.849,1.015704751,0.017765999,1.18,0.92,0.0,0.0,1.206,3.49
3.1,0.849,0.015704751,0.017765998,0.96,0.82,0.54,0.17,1.0199,1.83
1.3,0.844,0.015797788,0.017871248,1.15,1.58,0.0,0.49,1.2057,2.35
1.3,0.844,0.015797788,0.017871248,1.34,0.92,0.0,0.2,1.0854,3.35
1.3,0.844,0.015797788,0.017871248,2.06,1.29,0.0,0.26,1.4544,4.18
5.6,0.861,0.015485869,0.016744096,1.15,1.58,0.0,0.49,1.2057,2.16
5.6,0.861,0.015485869,0.016744096,1.34,0.92,0.0,0.2,1.0854,3.12
5.6,0.861,0.015485869,0.01674096,2.06,1.29,0.0,0.26,1.4544,4.13
0.6452,0.8571,0.0,0.1667,2.06,1.59,0.0,0.11,1.9362,7.108752067
0.038,0.8571,0.0,0.1667,0.87,1.11,0.0,0.28,0.8906,1.385750846
0.0258,0.8571,0.0,0.1667,1.73,1.55,0.47,0.45,1.8088,3.474776378
0.6452,0.8571,0.0,0.1667,1.77,1.33,0.0,0.15,1.6914,5.178249211
0.2151,0.8571,0.0,0.1667,0.87,1.11,0.0,0.28,0.8906,2.139078513
0.6452,0.8571,0.0,0.1667,1.9,1.48,0.0,0.15,1.8138,5.368421041
0.6452,0.8571,0.0,0.1667,2.18,1.74,0.0,0.11,2.0586,7.275193211
0.6452,0.8571,0.0,0.1667,1.76,1.33,0.0,0.15,1.6914,4.948462821
0.129,0.8571,0.0,0.1667,0.87,1.11,0.0,0.28,0.8906,1.917229763
0.0633,0.8571,0.0,0.1667,0.87,1.11,0.0,0.28,0.8906,1.607599596
0.6452,0.8571,0.0,0.1667,2.18,1.74,0.0,0.11,2.0586,6.53509703
0.129,0.8571,0.0,0.1667,2.06,1.29,0.0,0.26,1.4544,4.294158962
0.0633,0.8571,0.0,0.1667,2.06,1.29,0.0,0.26,1.4544,3.984528794
0.6452,0.8571,0.0,0.1667,1.94,1.44,0.0,0.11,1.8138,5.762905684
0.6452,0.8571,0.0,0.1667,1.76,1.33,0.0,0.15,1.6914,5.507335483
0.038,0.8571,0.0,0.1667,2.06,1.29,0.0,0.26,1.4544,3.762680045
0.2151,0.8571,0.0,0.1667,2.06,1.29,0.0,0.26,1.4544,4.516007711
0.6452,0.8571,0.0,0.1667,2.06,1.59,0.0,0.11,1.9362,5.653543359
0.1434,0.8571,0.0,0.1667,1.89,2.23,0.58,1.29,1.7244,1.959177279
0.6452,0.8571,0.0,0.1667,2.34,1.75,0.0,0.0,2.007,6.327884052
0.6452,0.8571,0.0,0.1667,2.18,1.74,0.0,0.11,2.0586,5.901694627
0.6452,0.8571,0.0,0.1667,1.94,1.44,0.0,0.11,1.8138,5.978146894
5.71,0.9231,0.0,0.08333,3.63,1.84,0.0,0.42,1.9536,2.883303634
1.14,0.9231,0.0,0.08333,3.63,1.84,0.0,0.42,1.9536,2.006893708
5.71,0.9231,0.008,0.08333,2.13,2.53,0.59,1.53,2.0043,0.274157849
5.71,0.9231,0.008,0.08333,1.34,0.92,0.0,0.2,1.0854,1.368472838
5.71,0.9231,0.008,0.08333,2.06,1.29,0.0,0.26,1.4544,1.474507639
5.71,0.9231,0.008,0.08333,2.81,1.71,0.0,0.28,1.5846,1.600972896
0.019,0.384,0.0,0.125,2.06,1.29,0.0,0.26,1.4544,3.358886204
0.019,0.384,0.0,0.125,1.81,1.76,0.0,0.16,2.218,5.020299118
0.019,0.384,0.0,0.125,0.64,1.25,0.0,1.02,3.4014,4.076166939
0.029,0.8571,0.0,0.1667,2.06,1.29,0.0,0.26,1.4544,4.712076998
0.029,0.8571,0.0,0.1667,1.81,1.76,0.0,0.16,2.218,4.986287921
0.029,0.8571,0.0,0.1667,0.64,1.25,0.0,1.02,3.4014,4.993409775
19.32,0.384,0.0,0.125,1.81,1.76,0.0,0.16,2.218,5.171258639
27.92,0.8571,0.0,0.1667,1.81,1.76,0.0,0.16,2.218,5.1930618
